# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = fastbreak_model
# start_datetime = 2025-10-05 00:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sine_data.json
# init = 2 (Default)
# random
#   seed = 3103514897 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,psi.1,psi.2,psi.3,psi.4
# Adaptation terminated
# Step size = 0.0171387
# Diagonal elements of inverse mass matrix:
# 0.00238716, 0.158083, 0.857078, 0.987253, 0.2091, 0.280006, 0.632137, 0.00120071, 0.00116149, 0.00131869, 0.00236363
-119.18359,0.88808796,0.017138713,7,255,0,124.19329,1.0493375,0.40110689,7.0299261,-15.227405,16.261063,-16.083837,13.379421,0.80753995,2.3548513,3.931713,5.4053844
-118.91016,0.97661414,0.017138713,8,255,0,122.05255,0.96476146,0.033812084,7.58089,-15.743598,16.508761,-15.851736,11.930093,0.81153384,2.3842382,3.8989365,5.3859823
-120.68756,0.38856037,0.017138713,8,511,0,131.1546,0.95455251,0.40700255,7.1039501,-15.432244,16.255996,-15.78288,13.228883,0.80419248,2.3322578,3.9202702,5.3891821
-119.2182,0.64059785,0.017138713,8,255,0,126.45081,1.0844902,0.20611294,7.4777815,-15.646068,16.066782,-15.779137,12.461134,0.81772682,2.3550465,3.9155523,5.3772161
-123.16237,0.89696148,0.017138713,8,255,0,124.59719,0.93537842,-0.17683127,8.8327332,-16.675189,15.846916,-16.171757,12.999991,0.74494546,2.3660517,3.9151815,5.3545141
-122.73958,0.90651594,0.017138713,7,255,0,131.38619,1.1414317,-0.073096655,8.1461689,-16.655507,16.470235,-15.6437,12.318456,0.81619615,2.3473963,3.9385393,5.4199032
-120.86535,0.98561456,0.017138713,7,255,0,126.86939,1.0488253,-0.31716914,8.4010084,-17.332648,16.90314,-16.079081,13.279376,0.83458254,2.3338276,3.9444582,5.3752797
-120.47266,0.98990386,0.017138713,8,255,0,127.15196,0.93898478,0.08669609,8.3763407,-16.313764,15.856338,-15.257895,13.312376,0.74823311,2.3492773,3.9032543,5.4728578
-119.844,0.9711011,0.017138713,8,255,0,123.78409,0.99151505,-0.093780323,8.314254,-16.118468,15.630304,-15.039417,13.767567,0.76265606,2.3608434,3.9052753,5.4968514
-120.18306,0.66339619,0.017138713,8,255,0,125.25641,1.1123341,-0.0055242002,8.2167958,-16.376814,16.212675,-16.010708,13.285492,0.78152466,2.3683313,3.9347552,5.4068416
